银行,厂商,机器型号,设备类型,操作系统,杀毒软件,是否有测试机,SP测试版本,中间件测试版本,生产使用SP版本,生产使用中间件版本,生产设备数量,银行前置P,备注
安徽农信,NCR,NCR_58XX,取款机(ATM),,,有,5.0.1,,,,72,,
安徽农信,NCR,NCR_6622,取款机(ATM),,,有,5.0.1,,,,2,,
安徽农信,NCR,NCR_6625,取款机(ATM),,,无,5.0.1,,,,199,,
安徽农信,NCR,NCR_6633,存取款一体机(CRS),XP,无,无,,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,NCR,NCR_6635,存取款一体机(CRS),XP,无,无,,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,NCR,NCR_6687,存取款一体机(CRS),XP,无,无,,ZJAXV2_0_0_Update_016P,,ZJAXV2_0_0_Update_016P,,,
安徽农信,迪堡,OPTEVA_368,存取款一体机(CRS),XP SP2,,,XFS4.0.0.0_2013Y1C,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,迪堡,OPTEVA_378,存取款一体机(CRS),XP,无,无,,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,东信,东信_2000XE,取款机(ATM),,,,"ProBase11.10,ProBase11.20",,,,8,,
安徽农信,东信,东信_2050XE,取款机(ATM),,,,"ProBase11.10,ProBase11.20",,,,326,,
安徽农信,东信,东信_8800F,取款机(ATM),XP SP2,,,,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,东信,东信_8800T,取款机(ATM),XP,无,无,,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,广电,GRG_H22N,取款机(ATM),XP SP2,,,GRG SP4.3.12.63,ZJAXV2_0_0_Update_012P,GRG SP4.3.13.04.0411,,,,
安徽农信,广电,GRG_H22NL,取款机(ATM),XP,无,无,GRG SP4.3.12.63,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,广电,GRG_H68N,存取款一体机(CRS),XP SP2,,,GRG SP4.3.12.63,ZJAXV2_0_0_Update_012P,GRG SP4.3.13.04.0411,,,,
安徽农信,广电,GRG_H68NL,存取款一体机(CRS),XP,无,无,GRG SP4.3.12.63,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,恒银,CASH80AWG,存取款一体机(CRS),XP SP2,,,1.3.3.0,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,恒银,CASH80AWI,取款机(ATM),XP SP2,,,1.3.3.0,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,日立,HT_2845SR,存取款一体机(CRS),XP SP2,,,STD060405,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,日立,HT_2845V,存取款一体机(CRS),,,有,SP100315,,,,623,,
安徽农信,御银,KingTeller_A4,取款机(ATM),XP SP2,,有,2.0.7,,,,1,,
安徽农信,御银,KingTeller_A4（08）,取款机(ATM),XP SP2,,有,2.0.7,,,,8,,
安徽农信,御银,KingTeller_A5（08）,取款机(ATM),XP SP2,,有,2.0.7,,,,1582,,
安徽农信,怡化,YH_6040T,存取款一体机(CRS),,,有,AHRCU072,,,,12,,
安徽农信,怡化,YH_6040W,存取款一体机(CRS),,,有,AHRCU072,,,,205,,
北京农商行,NCR,NCR_58XX,取款机(ATM),XP,趋势,有,ncr xfs511,KAL068,ncr xfs511,KAL068,342,紫金,生产SP版本：ncr xfs511
北京农商行,NCR,NCR_6622,取款机(ATM),XP,趋势,有,非触摸屏ncr xfs511，触摸屏ncr xfs611,KAL068,非触摸屏ncr xfs511，触摸屏ncr xfs611,KAL068,8,紫金,非触摸屏ncr xfs511，触摸屏ncr xfs611
北京农商行,NCR,NCR_6625,取款机(ATM),XP,趋势,有,非触摸屏ncr xfs511，触摸屏ncr xfs611,KAL068,非触摸屏ncr xfs511，触摸屏ncr xfs611,KAL068,31,紫金,非触摸屏ncr xfs511，触摸屏ncr xfs611
北京农商行,OKI,OKI_21S,存取款一体机(CRS),XP,趋势,有,1.6.0.0,KAL068,1.6.0.0,KAL068,203,紫金,
北京农商行,OKI,OKI_21SE,存取款一体机(CRS),XP,趋势,有,1.5.4.0,KAL068,1.5.4.0,KAL068,429,紫金,
北京农商行,长城湘计,湘计_306_大堂,查询机,XP,趋势,有,3.0.4,KAL075,3.0.4,KAL075,,,已投产
北京农商行,长城湘计,湘计_508_壁挂,查询机,XP,趋势,有,3.0.5,KAL075,3.0.5,KAL075,,,已投产
北京农商行,迪堡,OPTEVA_562,取款机(ATM),XP,趋势,有,Pxpp2.2.0.6,KAL068,Pxpp2.2.0.6,KAL068,,,迪堡设备数量：48台
北京农商行,东信,东信_8100,取款机(ATM),XP,趋势,有,2.0.6.2,KAL068,2.0.6.2,KAL068,19,紫金,
北京农商行,广电,H68N_CENL,存取款一体机(CRS),XP SP3,趋势,有,4.3.13.04 0227,Kal068,4.3.13.04 0227,Kal068,10,紫金,无
北京农商行,恒银,CASH39AG_JR1,查询机,XP SP3,趋势,有,1.3.1.0,Kal075,1.3.1.0,Kal075,,紫金,
北京农商行,浪潮,浪潮_1511TN,查询机,XP SP3,趋势,无,3.1.18,KAL075,3.1.18,Kal075,,,试运行一台
北京农商行,浪潮,浪潮_1711TN,查询机,XP SP3,趋势,有,3.1.18,KAL075,3.1.18,Kal075,,,测试通过，未投产
北京农商行,日立,HT_2845SR_13款,存取款一体机(CRS),XP,趋势,有,ZJHTSP_10018S,Kal068,ZJHTSP_10018S,Kal068,26,紫金,
北京农商行,日立,HT_2845V,存取款一体机(CRS),XP,趋势,有,SP100319,KAL068,SP100319,KAL068,195,紫金,设备是和美销售。14年左右改有紫金维保
北京农商行,神州数码,神码_C3004,取款机(ATM),XP,趋势,有,JXSPSetup1.1.3_C3000 Build20121114,KAL068,JXSPSetup1.1.3_C3000 Build20121114,KAL068,46,紫金,
北京农商行,神州数码,神码_C3006,取款机(ATM),XP,趋势,有,JXSPSetup1.1.3_C3000 Build20121114,KAL068,JXSPSetup1.1.3_C3000 Build20121114,KAL068,30,紫金,
北京农商行,神州数码,神码_C6000,取款机(ATM),XP,趋势,有,JXSPSetup1.1.3_C6000 Build20121114,KAL068,JXSPSetup1.1.3_C6000 Build20121114,KAL068,545,紫金,
北京农商行,神州数码,神码_C7000,存取款一体机(CRS),XP SP2,趋势,有,1.5.2,Kal068,1.5.2,Kal068,,,"生产一台，测试机留在空港
神州数码设备数量：406台"
北京农商行,证通,ZT2071_大堂,查询机,XP,趋势,有,3.0.7,KAL075,3.0.7,KAL075,,,已投产
北京农商行,证通,ZT2832_壁挂,查询机,XP,趋势,有,3.0.7,KAL075,3.0.7,KAL075,,,已投产
北京银行,NCR,NCR_5877,取款机(ATM),XP SP3,无,无,5.1.0,ZJAX,,,,,"126台

测试环境下的5877机器已拉走，并且银行打算淘汰生产上的NCR58XX系列的机器。"
北京银行,NCR,NCR_5884,取款机(ATM),XP SP3,无,无,5.1.0,ZJAX,,,,,"2台

测试环境下的5877机器已拉走，并且银行打算淘汰生产上的NCR58XX系列的机器。"
北京银行,NCR,NCR_5887,取款机(ATM),,无,无,5.1.0,ZJAX,,,,,2台
北京银行,NCR,NCR_6622,取款机(ATM),,无,有,5.1.0,ZJAX,,,,,120台
北京银行,NCR,NCR_6625,取款机(ATM),,无,无,5.1.0,ZJAX,,,,,58台
北京银行,NCR,NCR_6634,取款机(ATM),,无,无,5.1.0,ZJAX,,,,,1台
北京银行,长城,BST305,查询机,XP SP3,McAfee,有,V1.0.0.7,ZJAXV2_0_0_Update_016P,V1.0.0.3,ZJAXV2_0_0_Update_016P,3,紫金,V1.0.0.7等待投产。
北京银行,长城,BST306,查询机,XP SP3,无,有,V1.0.0.7,ZJAX,1.0.0.3,ZJAXV2_0_0_Update_016P,30,紫金,V1.0.0.7等待投产。
北京银行,长城,BST508,查询机,XP SP3,暂无使用,无,V1.0.0.7,ZJAXV2_0_0_Update_016P,,暂未投产,0,紫金,测试机设备已拉走，仍未投产。
北京银行,长城,PZ650S,取款机(ATM),,无,无,3.1.0,ZJAX,,,,,2台
北京银行,长城,PZ720,取款机(ATM),,无,有,3.1.0,ZJAX,,,,,26台
北京银行,迪堡,OPTEVA_328,存取款一体机(CRS),,无,有,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,59台
北京银行,迪堡,OPTEVA_368,存取款一体机(CRS),,无,无,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,8台
北京银行,迪堡,OPTEVA_522,取款机(ATM),,无,无,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,49台
北京银行,迪堡,OPTEVA_529,取款机(ATM),,无,无,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,25台
北京银行,迪堡,OPTEVA_562,取款机(ATM),,无,有,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,102台
北京银行,迪堡,OPTEVA_569,取款机(ATM),,无,无,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,15台
北京银行,东信,东信_2000XE,取款机(ATM),,无,有,Probase1130+SPC1212,ZJAX,,,,,15台
北京银行,恒银,CASH37AG-JR1L,查询机,XP SP3,McAfee,无,V1.0.0Update002,ZJAXV2_0_0_Update_016P,,ZJAXV2_0_0_Update_016P,0,紫金,测试机设备已拉走，仍未投产。
北京银行,恒银,CASH39AG-JRI,查询机,XP SP3,McAfee,有,V1.0.0Update002,ZJAXV2_0_0_Update_016P,V1.0.0Update001,ZJAXV2_0_0_Update_016P,3,紫金,V1.0.0Update002等待投产。
北京银行,恒银,CASH80AWI,取款机(ATM),XP SP3,无,有,1.3.3.0,ZJAX2.0,,,,宇信易诚,新机型安装包正在测试中。将随BOBJ_WSAP0206_008S投产。
北京银行,日立,HT_2845SR_12款,存取款一体机(CRS),XP,,无,,ZJAX,SP100321,ZJAX,,,
北京银行,日立,HT_2845V,存取款一体机(CRS),,无,有,SP100321,ZJAX,SP100321,ZJAX,,,216台
北京银行,神州数码,神码_C6000,取款机(ATM),,无,有,1.6.1.C,ZJAX,,,,,58台
沧州银行,东信,东信_2000XE,取款机(ATM),XP,趋势,无,ProDevice4160,ZJAXV2_0_0_Update_014P,ProDevice4160,ZJAXV2_0_0_Update_014P,75,恒生电子,2015年8月底统计：东信2000XE和2050XE设备总共：75台
沧州银行,东信,东信_2050XE,取款机(ATM),XP,趋势,无,ProDevice4160,ZJAXV2_0_0_Update_014P,ProDevice4160,ZJAXV2_0_0_Update_014P,75,恒生电子,2015年8月底统计：东信2000XE和2050XE总共75台
